212083;654737;14851
212084;654087;3719
212085;654087;3731
212087;654781;14071
212093;654797;13796
212094;654781;15373
212095;654804;14071
212097;654310;13734
212099;654323;15772
212100;654781;14334
212101;654804;15149
212102;654816;13242
212103;654066;2643
212104;654803;6972
212106;654737;196
212108;654797;2712
212109;654827;14196
212110;654804;15149
212112;654803;15767
212113;654804;14071
212115;654066;2643
212116;654816;15699
212117;654826;15753
212118;654629;2865
212119;654629;2865
212120;654087;13539
212121;654087;13539
212122;654295;13081
212123;654666;12913
212125;654803;15376
212126;654846;2307
212127;654231;1881
212128;654827;2712
212129;654846;1543
212130;654797;15373
212131;654087;13536
212132;654816;1055
212133;654853;13779
212134;654869;13485
212135;654827;15932
212136;654859;14872
212138;654833;15235
212139;654840;14645
212140;654826;15420
212141;654803;15271
212142;654827;3151
212143;654874;1030
212144;654797;13796
212147;654827;14851
212149;654797;15646
212150;654902;15646
212151;654879;14071
212152;654859;15502
212153;654859;15502
212154;654087;13539
212155;654827;15646
212156;654868;1500
212157;654797;15646
212158;654087;13538
212159;654840;15855
212160;654920;2865
212162;654803;15276
212163;654879;14071
212164;654922;15413
212165;654087;13536
212166;654859;14869
212167;654859;14869
212168;654870;14409
212169;654840;3051
212170;654797;14051
212171;654087;13133
212172;654925;15313
212174;654797;15789
212175;654922;13873
212176;654840;3051
212177;654906;15039
212179;654954;3242
212181;654833;15885
212183;654087;13544
212184;654859;14872
212187;654955;13310
212188;654638;1546
212189;654962;14852
212190;654930;13796
212191;654629;14474
212193;654963;15753
212195;654797;3151
212196;654879;14071
212200;654833;15235
212201;654833;15235
212202;654906;15420
212204;654797;15950
212205;654087;2872
212206;654087;2872
212207;654840;13064
212209;654906;1881
212211;654614;13796
212212;655008;15075
212213;654906;1881
212214;655006;14071
212215;654833;15898
212216;654614;13064
212217;654990;4278
212218;654990;15563
212220;654955;651
212222;655020;1547
212223;654833;15235
212224;654087;13053
212226;654833;13242
212227;655020;14489
212228;655028;12913
212229;655032;13812
212233;654797;14851
212234;655056;15075
212235;654087;2867
212236;655020;14490
212237;655044;1881
212238;655047;2600
212239;654797;14999
212240;654087;2871
212241;655056;1881
212242;655090;1399
212243;655047;2582
212246;654833;15079
212247;655090;1397
212248;655052;15323
212249;655052;2712
212250;655032;15747
212253;655047;2600
212254;655020;14494
212255;654237;12913
212256;655032;15419
212260;654833;15072
212263;654087;15659
212268;655020;1547
212271;655151;7973
212272;654666;12913
212274;655163;13871
212275;654932;12476
212276;655028;12913
212277;654087;14473
212278;654906;15075
212279;654906;13227
212281;655166;15647
212285;655189;15373
212286;655174;14407
212287;654932;12479
212288;654087;13547
212289;655208;1881
212290;654932;12415
212292;654932;11874
212293;654087;13547
212295;655189;13430
212296;654087;13717
212297;655214;15373
212298;655232;15111
212300;654087;13716
212302;654638;1546
212303;655232;13227
212304;655236;15947
212305;654087;13714
212307;655236;15634
212312;655155;2858
212315;655236;15886
212316;654087;2873
212318;655262;14920
212319;654996;13077
212320;655271;14199
212324;655316;1881
212325;654087;13539
212327;655262;12512
212328;655236;15084
212329;655332;3173
212330;654087;13053
212332;655340;13265
212333;655285;15647
212334;655334;13084
212336;655340;13267
212337;655362;15921
212338;655325;15772
212339;654087;13544
212340;655362;7974
212341;654087;13540
212343;655330;14071
212344;655285;14196
212348;655382;13310
212349;655382;13310
212350;654087;14473
212352;655185;4069
212353;655368;1881
212354;655330;13064
212355;655391;14645
212356;654087;2872
212359;655262;13083
212360;654087;2869
212362;655262;12511
212363;655330;13430
212366;654087;2870
212367;655372;2712
212368;655413;15753
212369;655264;13796
212374;655379;15315
212375;654087;13718
212376;655421;15111
212379;655262;15719
212380;655454;13310
212381;655406;14054
212382;655421;15336
212383;655262;15718
212384;655469;12974
212386;655430;13796
212387;655330;3168
212388;655330;14067
212391;655461;14033
212392;655262;14334
212393;655467;3172
212394;655467;3172
212398;655428;1881
212400;655285;15149
212402;653921;6866
212403;655262;13871
212404;655495;13081
212405;655330;14067
212407;655529;15111
212408;655461;14032
212410;655391;3051
212412;655537;13796
212416;654180;2330
212417;655529;15111
212418;655554;14407
212421;655537;2712
212423;655550;14474
212425;655554;2712
212428;655572;13310
212429;655561;13310
212430;655390;12587
212433;655576;15420
212434;655537;15135
212435;655585;12587
212436;655553;15794
212437;655537;15646
212438;655561;13244
212439;655561;1881
212440;655495;15291
212441;655561;15315
212442;655592;13244
212445;654393;13813
212446;655533;14071
212447;655495;13081
212448;654393;15747
212449;655592;1881
212450;654393;15753
212452;655481;13077
212453;655623;2899
212454;655572;1881
212457;655537;14071
212458;654004;13474
212460;655592;12587
212462;655637;14334
212463;655653;13244
212464;655537;13064
212465;655469;14545
212466;655659;13077
212467;655623;14026
212468;655649;15157
212469;655648;15373
212470;655550;14474
212471;655585;12587
212472;655646;1881
212473;655640;1881
212474;655630;2222
212475;655572;13310
212476;655653;15084
212479;655648;15646
212483;655679;2719
212484;655572;13813
212485;655653;15083
212486;655685;1455
212488;655576;1881
212489;655696;13796
212490;655662;12913
212493;653249;15763
212494;655654;3281
212495;655679;2720
212496;655335;14889
212498;655654;3281
212499;655673;15888
212507;654449;13077
212508;654449;13077
212509;655696;3151
212511;655651;12587
212512;655752;13244
212513;655446;3026
212514;655446;3026
212516;655717;1871
212519;655273;13796
212521;655717;14489
212522;655748;6920
212523;655773;2815
212524;655773;2815
212528;655765;12587
212530;655772;14196
212531;655446;7399
212532;655110;3546
212533;655696;13796
212534;655749;13081
212535;655718;13081
212539;655796;3070
212540;655454;1881
212541;653207;15503
212544;655796;947
212545;655561;15075
212547;655801;15134
212551;655782;15699
212555;655232;797
212556;655838;14196
212557;655770;12587
212559;655561;13310
212560;655561;13310
212562;655645;15271
212563;655782;13229
212564;655782;15419
212565;655854;929
212567;655640;1881
212570;655838;13796
212571;655645;15271
212573;655838;15647
212575;655495;14920
212577;655782;783
212579;655651;15420
212580;655893;14420
212582;655849;13244
212583;655719;1881
212585;653207;1731
212587;655495;14845
212588;655782;1826
212589;655883;13813
212591;653207;13763
212595;655914;14343
212597;655936;15111
212598;655903;13229
212600;655903;15419
212602;655838;14071
212603;655933;13778
212606;655965;651
212607;655838;2694
212608;655838;15134
212612;655838;14196
212613;655941;12573
212615;655903;15336
212616;655838;14071
212618;655977;15420
212620;655838;13796
212621;655999;15720
212622;655838;2695
212623;655838;14071
212625;655999;15719
212627;656011;13134
212628;655889;811
212629;655640;1881
212630;655930;1399
212631;655673;15888
212632;656012;2755
212633;656011;14067
212634;655933;13781
212636;655930;1399
212638;655889;1500
212639;656049;13796
212640;656054;14055
212641;655838;15134
212642;656033;15950
212645;656040;15420
212646;654385;13603
212649;653579;3046
212651;655838;2694
212652;655838;15134
212654;656084;2712
212658;656011;14067
212659;656074;15646
212660;653579;15015
212661;656064;15753
212662;656093;15101
212663;656108;14071
212667;656049;2712
212670;656111;15646
212671;656084;15135
212672;656107;13077
212674;656108;13796
212675;656084;3151
212676;656119;14326
212677;656119;14326
212681;656084;14334
212682;656126;2944
212683;656111;14051
212685;656143;12587
212687;655804;13813
212688;656136;15753
212689;656040;15420
212690;656111;15646
212691;656064;14054
212692;656140;15232
212694;656140;15232
212695;656162;2297
212697;656084;14196
212698;654762;1881
212702;656162;1612
212703;656084;14051
212704;656120;3254
212706;656186;15762
212707;656064;13813
212710;656143;2222
212711;656120;3248
212712;656136;13244
212713;656120;3234
212714;656196;13715
212715;656143;15336
212716;655979;1881
212719;656143;15337
212723;656179;14196
212724;656143;15332
212728;656249;14199
212729;656266;14697
212730;655979;13310
212731;656154;13244
212735;656266;2830
212736;656275;13227
212737;656275;13227
212738;656246;13812
212739;654870;14409
212740;656280;14699
212741;656288;14071
212742;656266;1970
212743;656271;1881
212745;656266;14480
212747;654638;1546
212748;656273;14842
212749;653837;1881
212751;656257;14056
212752;655428;1881
212755;656266;14480
212756;653837;1881
212760;656257;2129
212761;656257;2129
